date,date_id,wind,desc,temp,baro,hum,year,month,day,day_date,start_hour,end_hour
"Monday, February 8, 2021, 6:00 pm — 12:00 am",1612807200000.0,11.807,Partly cloudy.,30.2,29.68,83,2021,2,Monday,8,18:00,00:00
"Tuesday, February 9, 2021, 12:00 am — 6:00 am",1612828800000.0,8.7,Passing clouds.,30.2,29.71,82,2021,2,Tuesday,9,00:00,06:00
"Tuesday, February 9, 2021, 6:00 am — 12:00 pm",1612850400000.0,12.427999999999999,Light snow. Broken clouds.,32.0,29.73,81,2021,2,Tuesday,9,06:00,12:00
"Tuesday, February 9, 2021, 12:00 pm — 6:00 pm",1612872000000.0,12.427999999999999,Snow flurries. Broken clouds.,32.0,29.72,82,2021,2,Tuesday,9,12:00,18:00
"Tuesday, February 9, 2021, 6:00 pm — 12:00 am",1612893600000.0,14.914000000000001,Passing clouds.,32.0,29.75,77,2021,2,Tuesday,9,18:00,00:00
"Wednesday, February 10, 2021, 12:00 am — 6:00 am",1612915200000.0,11.807,Overcast.,32.0,29.8,76,2021,2,Wednesday,10,00:00,06:00
"Wednesday, February 10, 2021, 6:00 am — 12:00 pm",1612936800000.0,11.185,Sunny.,35.6,29.95,75,2021,2,Wednesday,10,06:00,12:00
"Wednesday, February 10, 2021, 12:00 pm — 6:00 pm",1612958400000.0,11.185,Passing clouds.,35.6,30.07,62,2021,2,Wednesday,10,12:00,18:00
"Wednesday, February 10, 2021, 6:00 pm — 12:00 am",1612980000000.0,6.2139999999999995,Passing clouds.,32.0,30.18,83,2021,2,Wednesday,10,18:00,00:00
"Thursday, February 11, 2021, 12:00 am — 6:00 am",1613001600000.0,4.971,Passing clouds.,28.4,30.27,93,2021,2,Thursday,11,00:00,06:00
"Thursday, February 11, 2021, 6:00 am — 12:00 pm",1613023200000.0,10.564,Partly sunny.,33.8,30.32,81,2021,2,Thursday,11,06:00,12:00
"Thursday, February 11, 2021, 12:00 pm — 6:00 pm",1613044800000.0,13.05,Partly sunny.,35.6,30.32,60,2021,2,Thursday,11,12:00,18:00
"Thursday, February 11, 2021, 6:00 pm — 12:00 am",1613066400000.0,14.293,Clear.,32.0,30.33,65,2021,2,Thursday,11,18:00,00:00
"Friday, February 12, 2021, 12:00 am — 6:00 am",1613088000000.0,16.157,Overcast.,30.2,30.35,67,2021,2,Friday,12,00:00,06:00
"Friday, February 12, 2021, 6:00 am — 12:00 pm",1613109600000.0,17.4,Sunny.,33.8,30.4,61,2021,2,Friday,12,06:00,12:00
"Friday, February 12, 2021, 12:00 pm — 6:00 pm",1613131200000.0,19.264,Partly sunny.,35.6,30.44,56,2021,2,Friday,12,12:00,18:00
"Friday, February 12, 2021, 6:00 pm — 12:00 am",1613152800000.0,16.778,Overcast.,30.2,30.47,63,2021,2,Friday,12,18:00,00:00
